順位,ID,社名,ブランド,主な商品,事業者の型,打診母数のASIN数,分類,窓口,卸・代理店経由の指定,個人事業主・ネット販売事業者,Amazon販売の制限,公開のロット・掛け率,Amazonブランド登録(ストア有無),商標(TMview),NETSEA社名一致,根拠1行,備考,出典URL,取得日
1,01,クリロン化成株式会社,BOS,防臭袋,自社製造メーカー,15,A,フォーム＋事業所電話,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,問い合わせフォームに「お取引先様は社用電話番号を」の注記。取引の問い合わせを受ける前提,事業=プラスチックフィルム製造販売。従業員257人（検索結果の二次情報）。楽天に自社店舗あり,https://www.kurilon.co.jp/contact/,2026-09-14
2,02,アセキ（ASEKI）,アセキ,懐中電灯,中国・海外,2,D,公式サイト未発見,—,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,推測：販売業者は中国湖南省の企業（二次情報2件・Amazon出品者情報の引用。確度中）,JAN 07（米国UPC）,https://dokonokuni.com/aseki/,2026-09-14
3,03,株式会社キュリエ,インクのチップス／横トナ,互換インク・トナー,EC小売（自社PB）,35,D,法人向けページ（購入者向け）,記載なし,記載なし,「転売を目的とした購入はお控え下さい」（小売店の法人ページ）,記載なし,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,事業=互換インクの輸入・卸売・EC販売（10店舗）。自社がAmazon出品者,T-1 の2グループ（インクのチップス・横トナ）は同一社。統合して1社に数えた,https://chips-shop.com/pages/business,2026-09-14
4,04,株式会社三輝,詰め替えそのまま,詰め替えボトル,自社製造メーカー,3,A,フォーム（区分：製品/資料請求/採用/その他）＋電話,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,大田区の樹脂製品・流体継手メーカー。自社製造,公式通販 sanki-web.net あり,https://sanki-ota.com/contact,2026-09-14
5,05,株式会社NEXT（EdisonBrain）,ひらがじゃん,ボードゲーム,企画メーカー（ファブレス）,1,A,「小売店・卸業者の方」専用メール＋フォーム,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,公式サイトのフッターに「小売店・卸業者の方」向け窓口を明記,同名の別会社（株式会社エジソンブレイン＝土木設計）に注意,https://hiragajong.com/pages/about-edisonbrain,2026-09-14
6,06,GORIX株式会社,GORIX,自転車パーツ,EC小売（自社PB）,24,B,電話のみ（会社概要ページにフォームなし）,記載なし,記載なし,記載なし,記載なし,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,事業=自転車小売／自社ブランド製品の開発・製造・輸出入。文面を送る窓口が公式に無い,旧ごっつ株式会社。楽天・Yahoo に公式店,http://www.gottsu-a.com/,2026-09-14
7,07,株式会社アクセスライン,うちのこエレクトリック,自動給餌器,企画メーカー（ファブレス）,4,A,卸・代理店申し込みフォーム,卸・代理店向けプログラム（審査制）,対象に「オンラインショップ運営者」を明記。「一般のお客様（個人利用）は対象外」,記載なし,「最低注文数量が設定される場合あり」。取引価格は承認後にログインで表示,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,卸・代理店募集ページにオンラインショップ運営者を対象と明記。PDF請求書対応,事業=ペット用品の企画・卸売,https://petelect.jp/pages/wholesale,2026-09-14
8,08,KAEI株式会社,RABLISS,パルスオキシメータ等,企画メーカー（ファブレス）,5,N,フォーム（区分に「卸・販売について」）,記載なし,記載なし,記載なし,記載なし,—,未調査（TMview 接続リセット 2026-09-14）,あり（KAEI 株式会社・NETSEA サプライヤー ID 704797）,NETSEA に出店（サプライヤー ID 704797）。スーパーデリバリーにも出店,医療機器（パルスオキシメータ）を含む。販売に届出が要る品目か要確認（ハルオ）,https://www.kaei.co.jp/contact/,2026-09-14
9,09,株式会社すごろくや,すごろくや,ボードゲーム,企画メーカー（ファブレス）,9,C,取引申し込みフォーム,自社卸（全国200社以上）,「実店舗をお持ちでないオンライン専売業者さまとのお取引は一律お断り」,「Amazon・楽天市場・Yahoo!ショッピング・メルカリなど大手ECモールへの出品をご遠慮」,記載なし（スポット取引不可）,ブランドストアあり（＝ブランド登録済み）,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,卸取引の注意事項にオンライン専売業者お断り・大手EC出品お断りを明記,,https://sugorokuya.jp/wholesale_guide,2026-09-14
10,10,（特定できず）,AMZTOP,ペットシーツ,特定できず,1,D,公式サイト未発見,—,—,—,—,—,未調査（TMview 接続リセット 2026-09-14）,なし（社名照合のみ・JAN照合はT-2）,メーカー欄が空。ブランド名で検索しても事業者名が出ない,,,2026-09-14
