カテゴリ,用語,よみ,1行定義,補足,関連語
1. 基礎用語,SKU,えすけーゆー,自分が扱う商品の最小管理単位を表す識別コード,色違い・サイズ違いも別SKUとして数える。社内の在庫管理に使う,"ASIN, JAN"
1. 基礎用語,ASIN,えいしん,Amazonが商品ごとに振る10桁の固有ID,B0から始まる10桁。同じASINに複数セラーが相乗りする,"SKU, 相乗り出品, カートボックス"
1. 基礎用語,JANコード,じゃんこーど,商品パッケージに印刷された13桁のバーコード番号,日本国内向け商品共通の流通コード。新規商品登録時にAmazonへ登録する,"ASIN, バーコードラベル"
1. 基礎用語,EAN,いーえーえぬ,欧州統一の商品識別コードでJANと互換性あり,輸入品ではEAN/UPCで登録するケースも多い,"JANコード, UPC"
1. 基礎用語,UPC,ゆーぴーしー,北米統一の12桁商品識別コード,並行輸入品の出品時に使うことがある,"JANコード, EAN"
1. 基礎用語,FBA,ふるふぃるめんとばいあまぞん,Amazon倉庫に商品を預け保管・梱包・発送を代行してもらう仕組み,Fulfillment by Amazon の略。プライム対象になり売れやすい,"FBM, 納品プラン"
1. 基礎用語,FBM,ふるふぃるめんとばいまーちゃんと,自分で在庫を持ち自分で梱包・発送する自己配送方式,自社発送とも呼ぶ。送料負担と作業量が多いが手数料は抑えられる,"FBA, 自己配送"
1. 基礎用語,自己配送,じこはいそう,出品者自身が梱包から配送までを行う方式の俗称,FBMと同義で使われる,FBM
1. 基礎用語,カートボックス,かーとぼっくす,Amazon商品ページの「カートに入れる」ボタンの権利,同一商品で複数セラーがいる場合、ここを取った出品者がほぼ全売上を持っていく,"相乗り出品, ショッピングカート獲得率"
1. 基礎用語,ショッピングカート獲得率,しょっぴんぐかーとかくとくりつ,自分がカートボックスを保持できている時間の割合,セラーセントラルで確認可能。70%以上が一般的な目安,カートボックス
1. 基礎用語,相乗り出品,あいのりしゅっぴん,既にあるAmazon商品ページに自分も出品者として加わる方式,新規ページ作成不要で参入しやすいが価格競争になりやすい,"カートボックス, 単独出品"
1. 基礎用語,単独出品,たんどくしゅっぴん,自分専用の商品ページを新規作成して出品する方式,OEM・オリジナル商品に多い。価格主導権を握れる,"相乗り出品, OEM"
1. 基礎用語,セラーセントラル,せらーせんとらる,Amazon出品者向けの管理画面,在庫・売上・広告・問い合わせを一元管理する,出品アカウント
1. 基礎用語,出品アカウント,しゅっぴんあかうんと,Amazonで物販をするための販売事業者用アカウント,1人1アカウントが原則。複数所有はアカウント停止リスク,"セラーセントラル, アカウント停止"
1. 基礎用語,プライム,ぷらいむ,Amazonの有料会員向け配送特典の総称,FBA出品商品は自動的にプライム対象。購買率が大きく上がる,FBA
1. 基礎用語,コンディション,こんでぃしょん,商品の状態を示す区分（新品・中古ほぼ新品など）,新品/ほぼ新品/非常に良い/良い/可 などに分類,コンディションガイドライン違反
1. 基礎用語,コンバージョン率,こんばーじょんりつ,商品ページを見た人のうち実際に購入した割合,CVRとも書く。3〜10%が目安,セッション
1. 基礎用語,セッション,せっしょん,商品ページを訪れたユーザー数を示す指標,セラーセントラルの「ビジネスレポート」で確認できる,コンバージョン率
2. 出品プラン・アカウント,大口出品,おおぐちしゅっぴん,月額4900円固定で出品数無制限のプラン,広告・API・新規商品登録が可能。月50点以上売るなら大口が有利,"小口出品, セラーセントラル"
2. 出品プラン・アカウント,小口出品,こぐちしゅっぴん,月額無料で1商品売れるごとに成約料100円かかるプラン,広告不可・新規商品登録不可など機能制限あり。試運転向き,"大口出品, 成約料"
2. 出品プラン・アカウント,成約料,せいやくりょう,小口出品で1商品売れるごとに発生する100円の手数料,大口出品では発生しない,小口出品
2. 出品プラン・アカウント,販売手数料,はんばいてすうりょう,売上に対してAmazonへ支払う成果報酬,カテゴリにより8〜15%。家電8%、ホーム15%が代表例,"FBA手数料, カテゴリ別手数料"
2. 出品プラン・アカウント,カテゴリ別手数料,かてごりべつてすうりょう,商品カテゴリごとに異なる販売手数料率,商品リサーチ時に必ず確認する,販売手数料
2. 出品プラン・アカウント,出品制限,しゅっぴんせいげん,特定カテゴリ・ブランドで出品許可が必要な制度,ゲートと呼ぶ。請求書提出で解除を申請する,"出品許可申請, 真贋調査"
2. 出品プラン・アカウント,出品許可申請,しゅっぴんきょかしんせい,出品制限を解除するための申請手続き,正規卸の請求書3通などが要件になる,"出品制限, 真贋調査"
2. 出品プラン・アカウント,出品停止,しゅっぴんていし,個別商品の出品を一時的に止められた状態,真贋・知財・在庫トラブルが原因。商品単位の処置,アカウント停止
2. 出品プラン・アカウント,アカウント健全性,あかうんとけんぜんせい,セラーセントラルが評価する出品者の総合スコア,Account Health Rating(AHR)。200点以上が健全ラインの目安,パフォーマンス通知
2. 出品プラン・アカウント,パフォーマンス通知,ぱふぉーまんすつうち,Amazonからの違反・改善要請の通知,72時間以内対応が原則。放置するとアカウント停止に直結,"アカウント健全性, アカウント停止"
3. 仕入れ手法,せどり,せどり,安く仕入れて高く売る転売手法の総称,古書業界の「背取り」が語源。現在は物販全般を指す,"電脳せどり, 店舗せどり"
3. 仕入れ手法,電脳せどり,でんのうせどり,ネット上のショップから仕入れるせどり手法,楽天・Yahoo!ショッピング・メーカー直販などから仕入れる。在宅完結可,"店舗せどり, ポイントせどり"
3. 仕入れ手法,店舗せどり,てんぽせどり,実店舗を巡って仕入れる手法,家電量販店・リサイクルショップ・ホームセンター巡回が代表的,"電脳せどり, アマサーチ"
3. 仕入れ手法,ポイントせどり,ぽいんとせどり,楽天等のポイント還元込みで利益を取る電脳せどり,SPU・買い回りで実質割引15〜30%を作る。ポイント込み利益が前提,電脳せどり
3. 仕入れ手法,新品せどり,しんぴんせどり,新品商品のみを扱うせどり手法,Amazonの新品コンディションで出品。古物商不要だが価格競争が激しい,中古せどり
3. 仕入れ手法,中古せどり,ちゅうこせどり,中古商品を仕入れて出品する手法,古物商許可が必須。利益率は高いが検品工数が大きい,"古物商許可, コンディション"
3. 仕入れ手法,卸,おろし,メーカーや問屋から正規ルートで仕入れる手法,継続安定供給が魅力。最低取引額や審査がある,メーカー仕入れ
3. 仕入れ手法,メーカー仕入れ,めーかーしいれ,商品メーカーから直接卸価格で仕入れる手法,長期的な独占販売契約も可能。営業力が必要,"卸, OEM"
3. 仕入れ手法,中国輸入,ちゅうごくゆにゅう,中国の工場・卸サイトから輸入して販売する手法,アリババ・タオバオ・1688が代表的な仕入れ先,"OEM, 輸入代行"
3. 仕入れ手法,OEM,おーいーえむ,既存工場に自社ブランドで生産委託する手法,Original Equipment Manufacturing の略。中国輸入と組み合わせるのが定番,"ODM, 中国輸入, 単独出品"
3. 仕入れ手法,ODM,おーでぃーえむ,工場が企画・設計まで担い自社ブランドを付けて販売する手法,Original Design Manufacturing。OEMより自社の関与が少ない,OEM
3. 仕入れ手法,リテールアービトラージ,りてーるあーびとらーじ,小売店との価格差を利用した転売手法の英語名,英語圏でせどりに相当する語。RAと略す,"せどり, オンラインアービトラージ"
