No,社名,所在地,従業員数,従業員数の出典URL,取扱カテゴリ,Amazon取扱状況(Keepa実測),TEL,問い合わせ/取引フォームURL,仕入れられそうと言える根拠(1行),根拠の出典URL,注意点
1,有限会社大橋量器（枡工房ますや）,岐阜県大垣市西外側町2-8,25名（公式・実測）,https://www.masukoubou.jp/corporate.html,木製枡・木製食器,自社ブランド「大橋量器」で14件ヒット・brand一致（2026-09-06）,0584-78-5468,https://www.masukoubou.jp/contact/,公式に法人向けノベルティ・名入れ記念品の受注窓口があり、見積り相談を公開フォームで受けている,https://www.masukoubou.jp/corporate.html,有限会社（＝小規模）。国産桧の枡は全国シェア上位の産地企業
2,株式会社木村硝子店,東京都文京区湯島3-10-7,20名（公式）／18人（gBizINFO）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3010001002090,業務用グラス・テーブルウェア,brand「木村硝子店」で20件ヒット・brand一致（2026-09-06）,03-3834-1781,https://zizi.kimuraglass.jp/pages/company,公式に「飲食店卸」の会員登録制度があり、卸取引の入口が制度として存在する,https://zizi.kimuraglass.jp/pages/company,卸会員の資格要件（法人/店舗限定か）は未確認。個人事業主可否は要問い合わせ
3,楠橋紋織株式会社,愛媛県今治市宅間甲319,90名（公式）／87人（gBizINFO）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=9500001011482,今治タオル（タオルケット・バスタオル等）,brand「楠橋紋織(Kusubashi Mon Ori)」で20件ヒット・brand一致（2026-09-06）,未取得（公式会社概要にTEL記載なし）,https://www.kusubashi.jp/pages/oem,OEM・法人相談の専用ページを公式に設けており、他社ブランド製造が事業の主軸,https://www.kusubashi.jp/pages/company,TELが公式に出ていない。初回接触はフォーム一択
4,七福タオル株式会社,愛媛県今治市富田新港1-2-2,69人（gBizINFO）／74名（二次）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1500001012199,今治タオル,brand「七福タオル」で20件ヒット・brand一致（2026-09-06）,0898-36-6020,https://oem.shichifuku-towel.co.jp/,OEM受注専用サイトを別ドメインで運営しており、小口の別注を受ける体制が公開されている,https://oem.shichifuku-towel.co.jp/,自社ブランド直販へ移行中との報道あり。卸条件は要確認
5,金野タオル株式会社,大阪府泉佐野市羽倉崎1-5-31,未取得（gBizINFO 欠測）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=6120101039548,泉州タオル,brand「金野タオル」で20件ヒット・brand一致（2026-09-06）,072-462-3801,https://www.kinno.co.jp/contact.html,公式に「OEM承ります」ページがあり、織機36台・インクジェット3台の自社設備を明示している,https://www.kinno.co.jp/oem.html,従業員数を一次情報で取れていない（gBizINFO 欠測）
6,株式会社北尾化粧品部,大阪府大阪市生野区中川西1-2-20,21人（gBizINFO）／25人（二次）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8120001017255,化粧品（製造・卸）,brand「北尾化粧品部」で4件ヒット・brand一致（2026-09-06）,06-6717-0881,http://kitao.co.jp/contact/,会社名のとおり化粧品の製造かつ卸が本業で、OEMの記載もある＝卸取引が前提の会社,http://kitao.co.jp/company/about/,化粧品は薬機法と Amazon の出品制限（要ゲート解除）の対象。着手前に法務確認が要る
7,株式会社高柳製茶,静岡県牧之原市勝田2310-4,25人（gBizINFO）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4080001013832,日本茶（製造・販売）,brand「株式会社 高柳製茶」で20件ヒット・brand一致（2026-09-06）,0548-27-2324,https://www.makinohara-cha.com/inquiry/,公式サイトに「法人のお客様」向けの記載があり、問い合わせフォームが独立して用意されている,https://www.makinohara-cha.com/c_6/,茶葉は賞味期限管理あり。FBA 納品時の期限規定に注意
8,北陸製菓株式会社（hokka）,石川県金沢市押野2-290-1,125人（gBizINFO）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5220001006317,菓子（ビスケット・かんぱん・あられ）,brand「北陸製菓」で20件ヒット・brand一致。上位に他セラーのブランド表記（スナッチー）も混在（2026-09-06）,未取得（本社代表番号を一次情報で確認できず）,https://oem.hokka.jp/,OEM製造の専用サイトを公式に運営しており、少量のノベルティ菓子まで受ける旨を公開している,https://oem.hokka.jp/,Amazon 上に既に転売系セラーの出品が混在。独占は取りにくい前提で見る必要あり
9,株式会社宇野刷毛ブラシ製作所,東京都墨田区向島3-1-5,未取得（gBizINFO 欠測・公式非掲載）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=6010601047549,刷毛・ブラシ（東京手植ブラシ）,manufacturer「株式会社　宇野刷毛ブラシ製作所」で20件ヒット・製造元一致（2026-09-06）,03-3622-9078,https://unobrush.jp/contact,公式に「企画・設計から製造まで一貫して引き受ける」と明記し、産業用まで受注している＝受注生産の窓口が開いている,https://unobrush.jp/about/,従業員数が一次情報で取れない。報道では三代目母子中心の小規模工房
10,廣田硝子株式会社,東京都墨田区錦糸2-6-5,未取得（gBizINFO 欠測）,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8010601014308,江戸切子・吹き硝子などのガラス器,brand「廣田硝子(Hirota Glass)」で20件ヒット・brand一致（2026-09-06）,03-3623-4145,https://hirota-glass.co.jp/contact/,日本金属ハウスウェア工業組合に「陶磁器・ガラス器卸売業」として登録されており、取扱品目800点規模＝卸が本業,https://houseware.jp/company/35/,従業員数が一次情報で取れない
