カテゴリ,制限内容,必要免許・申請,関連法令,根拠URL,初心者推奨度
化粧品（スキンケア・ヘアケア・メイク）,Amazon出品許可申請必須。製造販売届出済品目に限定。全成分の日本語表示が必須。輸入は製造販売業許可が必要。,化粧品製造販売業許可（自己輸入時）／Amazon出品許可申請,薬機法第12条・第14条,https://www.cyber-records.co.jp/amazon-cosmetics-listing-restrictions/,非推奨
医薬部外品,Amazon出品許可申請必須。品目ごとに製造販売承認が必要。効能効果は承認範囲内のみ。,医薬部外品製造販売業許可（自己輸入時）／Amazon出品許可申請,薬機法第14条,https://ageneralstudio.com/blog/2199-2/,非推奨
医薬品（第二類・第三類）,Amazon出品許可申請必須。薬剤師または登録販売者の常時配置必須。第一類は通販不可。,医薬品販売業許可（特定販売届出）,薬機法第26条・第36条の6,https://sobani.co.jp/columnlist/amazon_pharmaceuticals,非推奨
高度管理医療機器・特定管理医療機器,FBA利用不可。高度管理医療機器販売業許可が必要。,高度管理医療機器等販売業・貸与業許可,薬機法第39条,https://sellercentral.amazon.co.jp/help/hub/reference/external/G200164470,非推奨
サプリメント・健康食品,Amazon出品許可申請の対象（カテゴリにより）。全成分表示必須。効能効果表現で薬機法違反リスク。,食品等輸入届出（輸入時）／Amazon出品許可申請,食品衛生法第27条／薬機法第68条,https://ageneralstudio.com/blog/2199-2/,非推奨
食品・飲料（加工食品全般）,Amazon出品許可申請必須。輸入は事前届出。HACCP衛生管理義務。表示基準遵守。,食品衛生法営業届出／食品等輸入届出（輸入時）,食品衛生法第27条・第57条／食品表示法,https://www.cyber-records.co.jp/amazon-fba-prohibited-items/,非推奨
酒類（ビール・ワイン・日本酒等）,通信販売酒類小売業免許必須。FBA倉庫所在地ごとに酒類蔵置所届出。アルコール度数67%以上はFBA不可。,通信販売酒類小売業免許／酒類蔵置所届出,酒税法第9条／酒税法施行令,https://sobani.co.jp/columnlist/amazon_liquor,非推奨
タバコ・電子タバコ（ニコチン入り）,出品自体が原則禁止。,（出品不可）,たばこ事業法,https://sobani.co.jp/columnlist/amazon_prohibited-products,非推奨
玩具（特に幼児向け）,Amazon出品許可申請が必要なケース多数。クリスマス商戦期は新規申請停止が一般的。,STマーク等の安全基準適合,食品衛生法（口に触れる玩具）,https://jagoo.co.jp/column/amazon-sellinglimit/,慎重
時計・ジュエリー（特にブランド品）,Amazon出品許可申請必須。ブランド別に真贋証明・正規卸請求書3通が必要。,ブランドごとの出品許可,商標法,https://jagoo.co.jp/column/amazon-sellinglimit/,非推奨
電気製品（家電・モバイルバッテリー・充電器・LED照明等）,PSEマークなしは出品不可。輸入販売は届出事業者になる義務。,電気用品安全法届出事業者登録（輸入時）,電気用品安全法第3条・第27条・第57条,https://bdl-llc.jp/giteki-mark-warning/,非推奨
無線機器（Wi-Fi・Bluetooth・トランシーバー等）,技適マークなしは出品不可・使用不可。販売は電波法違反。,技術基準適合証明（技適マーク取得）,電波法第38条の7・第110条,https://www.musen-connect.co.jp/blog/course/other/bluetooth-device-major-retailers/,非推奨
DVD・Blu-ray・音楽CD（新品）,Amazon出品許可申請が必要なケースあり。再販制度の影響で利益が出にくい。,出版社・レーベル証明,著作権法／再販制度,https://jagoo.co.jp/column/amazon-sellinglimit/,慎重
書籍（新品）,再販制度により価格規制あり。中古本は古物商許可必須。,古物商許可（中古本販売時）,古物営業法／再販制度,（一般情報）,推奨（中古本＋古物商）
産業＆研究機関向け（試薬・実験器具）,Amazon出品許可申請必須。法人取引証明・用途確認が必要。,（用途確認書類）,各種法令,https://jagoo.co.jp/column/amazon-sellinglimit/,慎重
自動車＆バイク用品,Amazon出品許可申請が必要なケースあり。リコール情報の事前確認義務。,保安基準適合（一部商品）,道路運送車両法,https://jagoo.co.jp/column/amazon-sellinglimit/,慎重
ペット用品（処方食・サプリ）,Amazon出品許可申請必須。獣医師処方の確認が必要。,動物用医薬品販売業許可（処方食一部）,薬機法（動物用医薬品）,https://jagoo.co.jp/column/amazon-sellinglimit/,慎重
銃刀類（刃渡り5.5cm以上の両刃・銃器・クロスボウ・スタンガン）,出品自体が完全禁止。,（出品不可）,銃刀法,https://www.cyber-records.co.jp/amazon-restricted-products-list/,非推奨
危険物（スプレー缶・可燃性液体・リチウム電池単体）,FBA危険物審査必須。SDS（安全データシート）提出義務。アルコール67%以上はFBA不可。,FBA危険物登録／SDS提出,高圧ガス保安法／消防法,https://s3.amazonaws.com/JP_AM/su/376.pdf,非推奨
中古品全般,Amazon出品許可申請が必要なカテゴリあり。古物商許可が前提。,古物商許可,古物営業法第3条,https://kyokanabi.com/kobutsu/sedori/,慎重（古物商取得後）
ブランド品（並行輸入含む）,真贋調査の対象。商標権侵害申立てで即出品停止。,正規流通経路の証明書類,商標法第78条／不正競争防止法,https://support.toreru.jp/hc/ja/articles/360000301122,非推奨
繊維製品・雑貨工業品,家庭用品品質表示法に基づく表示義務（組成・取扱・表示者名等）。,（表示義務遵守）,家庭用品品質表示法,https://www.caa.go.jp/policies/policy/representation/household_goods/,慎重
コンタクトレンズ・度入りメガネ,FBA利用不可。高度管理医療機器として規制。,高度管理医療機器等販売業・貸与業許可,薬機法第39条,https://sellercentral.amazon.co.jp/help/hub/reference/external/G200164470,非推奨
農薬・除草剤,登録番号必須。販売には農薬取締法の遵守義務。,農薬登録,農薬取締法,https://www.cyber-records.co.jp/amazon-restricted-products-list/,非推奨
国内メーカー直販・正規問屋経由の日用品（文房具・清掃用品・収納用品等）,出品制限なし（一部の特殊カテゴリ除く）。法務リスク最小。,（不要）,（特段の規制なし）,（一般情報）,推奨
