カテゴリ番号,カテゴリ名,仕入れ先名,URL,主な取扱ジャンル,開設難易度,最低発注,支払方法,リードタイム,初心者向き度,備考
A-1,国内卸サイト,NETSEA（ネッシー）,https://www.netsea.jp/,アパレル・雑貨・美容・食品・家電,簡単,1点〜可も多い,"クレジット, 銀行振込, 後払い",2〜7日,9,国内最大200万点。クーポン・ゲリラセール狙い目
A-1,国内卸サイト,スーパーデリバリー（SDeli）,https://www.superdelivery.com/,アパレル・雑貨・インテリア,中,業者次第,"クレジット, 銀行振込",3〜7日,7,月額2,000円税抜＋審査あり。雑貨カテゴリ強い
A-1,国内卸サイト,orosy（オロシー）,https://retailer.orosy.com/,高感度ブランド・ライフスタイル雑貨,中,ブランドごと,クレジット,3〜10日,6,他モールに無いニッチ良品。差別化向け
A-1,国内卸サイト,ザッカネット,https://www.zakkanet.com/,雑貨・インテリア・ギフト,簡単,業者次第,"クレジット, 銀行振込",3〜10日,7,1,900社の問屋集合。逆引き発注掲示板あり
A-1,国内卸サイト,トップセラー（TopSeller）,https://www.topseller.jp/,30万点総合（ドロップシッピング）,簡単,1点〜,クレジット,在庫直送,6,FBA とは設計思想が逆。テスト用に
A-2,メーカー直販・問屋,国内メーカー直取引（個別開拓）,—,全ジャンル,要審査,5〜30万円〜,銀行振込（請求書）,2〜14日,3,独占販売契約の可能性。実績・古物商必須の場合多
A-2,メーカー直販・問屋,問屋街（蔵前・浅草橋・船場 等）,—,雑貨・玩具・アパレル,中,1万〜,"現金, 銀行振込",即日〜3日,5,名刺・古物商で歓迎されやすい
A-2,メーカー直販・問屋,展示会（ギフトショー・PB EXPO 等）,https://www.giftshow.co.jp/,新商品・PB候補,中,ブースごと,商談後請求,1〜4週間,4,春秋年2回。見学だけでも目利き向上
A-3,量販店ネット,ヨドバシ・ドット・コム,https://www.yodobashi.com/,家電・日用品・玩具・ホビー,簡単,1点〜,"クレジット, コンビニ, 代引き",1〜2日,9,10%還元＋全品送料無料が強力
A-3,量販店ネット,ビックカメラ.com,https://www.biccamera.com/,家電・日用品・玩具,簡単,1点〜,"クレジット, ポイント",1〜3日,8,楽天ビック併用で還元二段重ね
A-3,量販店ネット,ノジマオンライン,https://online.nojima.co.jp/,家電・PC周辺,簡単,1点〜,クレジット,1〜3日,7,Nアプリのクーポン熱い
A-4,大型ECモール,楽天市場,https://www.rakuten.co.jp/,ほぼ全ジャンル,簡単,1点〜,"クレジット, 楽天ペイ",2〜5日,9,SPU最大16倍。スーパーセール時実質40%還元も
