区分,項目,案A_SatoScope自社開発,案B_SatoScope+ERESA併用,案C_SaaSのみ_ERESA+Keepa,単位,備考
前提,為替,167,167,167,円/EUR,2026年推定
コスト,Keepa_Power-User,8200,8200,8200,円/月,€49
コスト,ERESA_AI基本,0,5980,5980,円/月,税込
コスト,Amazon_SP-API,0,0,0,円/月,自社利用は無料継続
コスト,Yahoo楽天API,0,0,0,円/月,無料枠
コスト,月額ランニング合計,8200,14200,14200,円/月,
コスト,初期開発費_中央,12000,12000,2000,円,AI時間の機会コスト
累計,半年累計コスト,61000,97000,87000,円,開発費+月額x6
累計,1年累計コスト,110000,170000,170000,円,開発費+月額x12
損益分岐,損益分岐月商_利益率20%,41000,71000,71000,円/月,月額をペイする月商
損益分岐,損益分岐販売個数_利益600円per個,14,24,24,個/月,
ROI楽観,月商,500000,500000,500000,円/月,
ROI楽観,月次粗利_率20%,100000,100000,100000,円/月,
ROI楽観,月次純額_粗利マイナス月額,91800,85800,85800,円/月,
ROI楽観,開発費回収月数,0.1,0.1,0.0,ヶ月,
ROI楽観,1年ROI,989,560,598,%,
ROI標準,月商,100000,100000,100000,円/月,推奨基準
ROI標準,月次粗利_率20%,20000,20000,20000,円/月,
ROI標準,月次純額_粗利マイナス月額,11800,5800,5800,円/月,
ROI標準,開発費回収月数,1.0,2.1,0.3,ヶ月,
ROI標準,1年ROI,118,32,40,%,
ROI悲観,月商,30000,30000,30000,円/月,
ROI悲観,月次粗利_率20%,6000,6000,6000,円/月,
ROI悲観,月次純額_粗利マイナス月額,-2183,-8163,-8163,円/月,全案赤字
ROI悲観,開発費回収月数,回収不能,回収不能,回収不能,ヶ月,
ROI悲観,1年ROI,赤字,赤字,赤字,%,
撤退条件,半年で元が取れる最低平均月商,51000,81000,72000,円/月,6ヶ月維持が必要
撤退条件,撤退判定ライン_3ヶ月平均月商,50000,,,円/月,案A基準_これを下回り続けたら撤退検討
